from,to,accessible
F1_qr_east,F1_entrance,1
F1_qr_east,F1_emergency_exit,1
F1_qr_east,F1_classroom101,1
F1_qr_east,F1_classroom102,1
F1_qr_east,F1_classroom103,1
F1_qr_east,F1_classroom104,1
F1_qr_east,F1_classroom105,1
F1_qr_east,F1_service_space,1
F1_qr_east,F1_rectorate,1
F1_qr_east,F1_dean_it,1
F1_qr_east,F1_dean_er,1
F1_qr_east,F1_dean_rat,1
F1_qr_east,F1_cafeteria,1
F1_qr_east,F1_wardrobe,1
F1_qr_east,F1_stairs_north,1
F1_qr_east,F1_stairs_west,1
F1_qr_east,F1_elevator,1
F1_qr_east,F1_toilet_m,1
F1_qr_east,F1_toilet_f,1
F1_qr_north,F1_entrance,1
F1_qr_north,F1_emergency_exit,1
F1_qr_north,F1_classroom101,1
F1_qr_north,F1_classroom102,1
F1_qr_north,F1_classroom103,1
F1_qr_north,F1_classroom104,1
F1_qr_north,F1_classroom105,1
F1_qr_north,F1_service_space,1
F1_qr_north,F1_rectorate,1
F1_qr_north,F1_dean_it,1
F1_qr_north,F1_dean_er,1
F1_qr_north,F1_dean_rat,1
F1_qr_north,F1_cafeteria,1
F1_qr_north,F1_wardrobe,1
F1_qr_north,F1_stairs_north,1
F1_qr_north,F1_stairs_west,1
F1_qr_north,F1_elevator,1
F1_qr_north,F1_toilet_m,1
F1_qr_north,F1_toilet_f,1
F1_qr_west,F1_entrance,1
F1_qr_west,F1_emergency_exit,1
F1_qr_west,F1_classroom101,1
F1_qr_west,F1_classroom102,1
F1_qr_west,F1_classroom103,1
F1_qr_west,F1_classroom104,1
F1_qr_west,F1_classroom105,1
F1_qr_west,F1_service_space,1
F1_qr_west,F1_rectorate,1
F1_qr_west,F1_dean_it,1
F1_qr_west,F1_dean_er,1
F1_qr_west,F1_dean_rat,1
F1_qr_west,F1_cafeteria,1
F1_qr_west,F1_wardrobe,1
F1_qr_west,F1_stairs_north,1
F1_qr_west,F1_stairs_west,1
F1_qr_west,F1_elevator,1
F1_qr_west,F1_toilet_m,1
F1_qr_west,F1_toilet_f,1
F1_qr_center,F1_entrance,1
F1_qr_center,F1_emergency_exit,1
F1_qr_center,F1_classroom101,1
F1_qr_center,F1_classroom102,1
F1_qr_center,F1_classroom103,1
F1_qr_center,F1_classroom104,1
F1_qr_center,F1_classroom105,1
F1_qr_center,F1_service_space,1
F1_qr_center,F1_rectorate,1
F1_qr_center,F1_dean_it,1
F1_qr_center,F1_dean_er,1
F1_qr_center,F1_dean_rat,1
F1_qr_center,F1_cafeteria,1
F1_qr_center,F1_wardrobe,1
F1_qr_center,F1_stairs_north,1
F1_qr_center,F1_stairs_west,1
F1_qr_center,F1_elevator,1
F1_qr_center,F1_toilet_m,1
F1_qr_center,F1_toilet_f,1
F2_qr_east,F2_emergency_exit,1
F2_qr_east,F2_classroom201,1
F2_qr_east,F2_classroom202,1
F2_qr_east,F2_classroom203,1
F2_qr_east,F2_classroom204,1
F2_qr_east,F2_classroom205,1
F2_qr_east,F2_classroom206,1
F2_qr_east,F2_classroom207,1
F2_qr_east,F2_classroom208,1
F2_qr_east,F2_classroom209,1
F2_qr_east,F2_classroom210,1
F2_qr_east,F2_stairs_north,1
F2_qr_east,F2_stairs_west,1
F2_qr_east,F2_elevator,1
F2_qr_east,F2_toilet_m,1
F2_qr_east,F2_toilet_f,1
F2_qr_east,F2_library,1
F2_qr_centre,F2_emergency_exit,1
F2_qr_centre,F2_classroom201,1
F2_qr_centre,F2_classroom202,1
F2_qr_centre,F2_classroom203,1
F2_qr_centre,F2_classroom204,1
F2_qr_centre,F2_classroom205,1
F2_qr_centre,F2_classroom206,1
F2_qr_centre,F2_classroom207,1
F2_qr_centre,F2_classroom208,1
F2_qr_centre,F2_classroom209,1
F2_qr_centre,F2_classroom210,1
F2_qr_centre,F2_stairs_north,1
F2_qr_centre,F2_stairs_west,1
F2_qr_centre,F2_elevator,1
F2_qr_centre,F2_toilet_m,1
F2_qr_centre,F2_toilet_f,1
F2_qr_centre,F2_library,1
F2_qr_west,F2_emergency_exit,1
F2_qr_west,F2_classroom201,1
F2_qr_west,F2_classroom202,1
F2_qr_west,F2_classroom203,1
F2_qr_west,F2_classroom204,1
F2_qr_west,F2_classroom205,1
F2_qr_west,F2_classroom206,1
F2_qr_west,F2_classroom207,1
F2_qr_west,F2_classroom208,1
F2_qr_west,F2_classroom209,1
F2_qr_west,F2_classroom210,1
F2_qr_west,F2_stairs_north,1
F2_qr_west,F2_stairs_west,1
F2_qr_west,F2_elevator,1
F2_qr_west,F2_toilet_m,1
F2_qr_west,F2_toilet_f,1
F2_qr_west,F2_library,1
