id,name,floor,x,y,type
F1_entrance,Вход,1,1375.0,560.26,entrance
F1_emergency_exit,Аварийный выход 1 этаж,1,39.78,468.79,exit
F1_classroom101,Аудитория 101,1,100.0,115.0,classroom
F1_classroom102,Аудитория 102,1,298.75,115.0,classroom
F1_classroom103,Аудитория 103,1,497.47,115.0,classroom
F1_classroom104,Аудитория 104,1,1194.21,115.0,classroom
F1_classroom105,Аудитория 105,1,299.37,485.63,classroom
F1_service_space,Служебное помещение,1,1244.5,485.63,office
F1_rectorate,Ректорат,1,1095.57,485.63,office
F1_dean_it,Деканат ИТ,1,896.84,485.63,office
F1_dean_er,Деканат ЭС,1,696.84,485.63,office
F1_dean_rat,Деканат РиТ,1,498.1,485.63,office
F1_cafeteria,Столовая,1,845.84,115.0,cafeteria
F1_wardrobe,Гардероб,1,1550.35,473.63,office
F1_stairs_north,Северная лестница,1,1476.57,29.82,stair
F1_stairs_west,Западная лестница,1,34.75,296.97,stair
F1_elevator,Лифт,1,1406.95,29.83,elevator
F1_toilet_m,Туалет (М) 1 этаж,1,1560.88,156.89,toilet
F1_toilet_f,Туалет (Ж) 1 этаж,1,1560.88,246.39,toilet
F1_qr_east,Восточный QR код на 1 этаже,1,1514.42,371.84,qr_node
F1_qr_north,Северный QR код на 1 этаже,1,1332.9,92.8,qr_node
F1_qr_west,Западный QR код на 1 этаже,1,101.24,378.49,qr_node
F1_qr_center,Центральный QR код на 1 этаже,1,639.18,258.11,qr_node
F2_emergency_exit,Аварийный выход 2 этаж,2,51.58,565.23,exit
F2_classroom201,Аудитория 201,2,100.0,115.0,classroom
F2_classroom202,Аудитория 202,2,298.74,115.0,classroom
F2_classroom203,Аудитория 203,2,572.47,115.0,classroom
F2_classroom204,Аудитория 204,2,920.68,115.0,classroom
F2_classroom205,Аудитория 205,2,1194.21,115.0,classroom
F2_classroom206,Аудитория 206,2,355.37,485.84,classroom
F2_classroom207,Аудитория 207,2,554.1,485.84,classroom
F2_classroom208,Аудитория 208,2,752.84,485.84,classroom
F2_classroom209,Аудитория 209,2,951.58,485.84,classroom
F2_classroom210,Аудитория 210,2,1150.31,485.84,classroom
F2_stairs_north,Северная лестница,2,1476.57,29.82,stair
F2_stairs_west,Западная лестница,2,34.75,296.97,stair
F2_elevator,Лифт,2,1406.95,29.83,elevator
F2_toilet_m,Туалет (М) 2 этаж,2,1560.88,156.89,toilet
F2_toilet_f,Туалет (Ж) 2 этаж,2,1560.88,246.39,toilet
F2_library,Библиотека,2,1423.84,485.84,office
F2_qr_east,Восточный QR код на 2 этаже,2,1331.26,107.56,qr_node
F2_qr_centre,Центральный QR код на 2 этаже,2,773.78,255.4,qr_node
F2_qr_west,Западный QR код на 2 этаже,2,225.97,373.92,qr_node
